+------------------------------------------------------------------------------+
|                                                                              |
| Atomistix ToolKit 2017.1 [Build ce08f12339]                                  |
|                                                                              |
+------------------------------------------------------------------------------+
+----------------------------------------------------------+
| Bulk Bravais lattice                                     |
+----------------------------------------------------------+
Type:
Hexagonal

Lattice constants:
a =   118.137600 Ang
b =   118.137600 Ang
c =     6.709000 Ang

Lattice angles:
alpha =    90.000000 deg
beta  =    90.000000 deg
gamma =   120.000000 deg

Primitive vectors:
u_1 =     59.068800   -102.310163      0.000000 Ang
u_2 =     59.068800    102.310163      0.000000 Ang
u_3 =      0.000000      0.000000      6.709000 Ang

+----------------------------------------------------------+
| Bulk: Cartesian (Angstrom) / fractional                  |
+----------------------------------------------------------+
4608
Bulk
C     9.229500e+00  3.552507e-01  3.354500e+00    0.07639  0.07986  0.50000
C     9.229500e+00  1.776211e+00  3.354500e+00    0.06944  0.08681  0.50000
C     1.046010e+01  2.486712e+00  3.354500e+00    0.07639  0.10069  0.50000
C     1.046010e+01  3.907673e+00  3.354500e+00    0.06944  0.10764  0.50000
C     1.169070e+01  4.618174e+00  3.354500e+00    0.07639  0.12153  0.50000
C     1.169070e+01  6.039134e+00  3.354500e+00    0.06944  0.12847  0.50000
C     1.292130e+01  6.749636e+00  3.354500e+00    0.07639  0.14236  0.50000
C     1.292130e+01  8.170596e+00  3.354500e+00    0.06944  0.14931  0.50000
C     1.415190e+01  8.881098e+00  3.354500e+00    0.07639  0.16319  0.50000
C     1.415190e+01  1.030206e+01  3.354500e+00    0.06944  0.17014  0.50000
C     1.538250e+01  1.101256e+01  3.354500e+00    0.07639  0.18403  0.50000
C     1.538250e+01  1.243352e+01  3.354500e+00    0.06944  0.19097  0.50000
C     1.661310e+01  1.314402e+01  3.354500e+00    0.07639  0.20486  0.50000
C     1.661310e+01  1.456498e+01  3.354500e+00    0.06944  0.21181  0.50000
C     1.784370e+01  1.527548e+01  3.354500e+00    0.07639  0.22569  0.50000
C     1.784370e+01  1.669644e+01  3.354500e+00    0.06944  0.23264  0.50000
C     1.907430e+01  1.740694e+01  3.354500e+00    0.07639  0.24653  0.50000
C     1.907430e+01  1.882790e+01  3.354500e+00    0.06944  0.25347  0.50000
C     2.030490e+01  1.953841e+01  3.354500e+00    0.07639  0.26736  0.50000
C     2.030490e+01  2.095937e+01  3.354500e+00    0.06944  0.27431  0.50000
C     2.153550e+01  2.166987e+01  3.354500e+00    0.07639  0.28819  0.50000
C     2.153550e+01  2.309083e+01  3.354500e+00    0.06944  0.29514  0.50000
C     2.276610e+01  2.380133e+01  3.354500e+00    0.07639  0.30903  0.50000
C     2.276610e+01  2.522229e+01  3.354500e+00    0.06944  0.31597  0.50000
C     2.399670e+01  2.593279e+01  3.354500e+00    0.07639  0.32986  0.50000
C     2.399670e+01  2.735375e+01  3.354500e+00    0.06944  0.33681  0.50000
C     2.522730e+01  2.806425e+01  3.354500e+00    0.07639  0.35069  0.50000
C     2.522730e+01  2.948521e+01  3.354500e+00    0.06944  0.35764  0.50000
C     2.645790e+01  3.019571e+01  3.354500e+00    0.07639  0.37153  0.50000
C     2.645790e+01  3.161668e+01  3.354500e+00    0.06944  0.37847  0.50000
C     2.768850e+01  3.232718e+01  3.354500e+00    0.07639  0.39236  0.50000
C     2.768850e+01  3.374814e+01  3.354500e+00    0.06944  0.39931  0.50000
C     2.891910e+01  3.445864e+01  3.354500e+00    0.07639  0.41319  0.50000
C     2.891910e+01  3.587960e+01  3.354500e+00    0.06944  0.42014  0.50000
C     3.014970e+01  3.659010e+01  3.354500e+00    0.07639  0.43403  0.50000
C     3.014970e+01  3.801106e+01  3.354500e+00    0.06944  0.44097  0.50000
C     3.138030e+01  3.872156e+01  3.354500e+00    0.07639  0.45486  0.50000
C     3.138030e+01  4.014252e+01  3.354500e+00    0.06944  0.46181  0.50000
C     3.261090e+01  4.085302e+01  3.354500e+00    0.07639  0.47569  0.50000
C     3.261090e+01  4.227398e+01  3.354500e+00    0.06944  0.48264  0.50000
C     3.384150e+01  4.298449e+01  3.354500e+00    0.07639  0.49653  0.50000
C     3.384150e+01  4.440545e+01  3.354500e+00    0.06944  0.50347  0.50000
C     3.507210e+01  4.511595e+01  3.354500e+00    0.07639  0.51736  0.50000
C     3.507210e+01  4.653691e+01  3.354500e+00    0.06944  0.52431  0.50000
C     3.630270e+01  4.724741e+01  3.354500e+00    0.07639  0.53819  0.50000
C     3.630270e+01  4.866837e+01  3.354500e+00    0.06944  0.54514  0.50000
C     3.753330e+01  4.937887e+01  3.354500e+00    0.07639  0.55903  0.50000
C     3.753330e+01  5.079983e+01  3.354500e+00    0.06944  0.56597  0.50000
C     3.876390e+01  5.151033e+01  3.354500e+00    0.07639  0.57986  0.50000
C     3.876390e+01  5.293129e+01  3.354500e+00    0.06944  0.58681  0.50000
C     3.999450e+01  5.364179e+01  3.354500e+00    0.07639  0.60069  0.50000
C     3.999450e+01  5.506275e+01  3.354500e+00    0.06944  0.60764  0.50000
C     4.122510e+01  5.577326e+01  3.354500e+00    0.07639  0.62153  0.50000
C     4.122510e+01  5.719422e+01  3.354500e+00    0.06944  0.62847  0.50000
C     4.245570e+01  5.790472e+01  3.354500e+00    0.07639  0.64236  0.50000
C     4.245570e+01  5.932568e+01  3.354500e+00    0.06944  0.64931  0.50000
C     4.368630e+01  6.003618e+01  3.354500e+00    0.07639  0.66319  0.50000
C     4.368630e+01  6.145714e+01  3.354500e+00    0.06944  0.67014  0.50000
C     4.491690e+01  6.216764e+01  3.354500e+00    0.07639  0.68403  0.50000
C     4.491690e+01  6.358860e+01  3.354500e+00    0.06944  0.69097  0.50000
C     4.614750e+01  6.429910e+01  3.354500e+00    0.07639  0.70486  0.50000
C     4.614750e+01  6.572006e+01  3.354500e+00    0.06944  0.71181  0.50000
C     4.737810e+01  6.643056e+01  3.354500e+00    0.07639  0.72569  0.50000
C     4.737810e+01  6.785152e+01  3.354500e+00    0.06944  0.73264  0.50000
C     4.860870e+01  6.856203e+01  3.354500e+00    0.07639  0.74653  0.50000
C     4.860870e+01  6.998299e+01  3.354500e+00    0.06944  0.75347  0.50000
C     4.983930e+01  7.069349e+01  3.354500e+00    0.07639  0.76736  0.50000
C     4.983930e+01  7.211445e+01  3.354500e+00    0.06944  0.77431  0.50000
C     5.106990e+01  7.282495e+01  3.354500e+00    0.07639  0.78819  0.50000
C     5.106990e+01  7.424591e+01  3.354500e+00    0.06944  0.79514  0.50000
C     5.230050e+01  7.495641e+01  3.354500e+00    0.07639  0.80903  0.50000
C     5.230050e+01  7.637737e+01  3.354500e+00    0.06944  0.81597  0.50000
C     5.353110e+01  7.708787e+01  3.354500e+00    0.07639  0.82986  0.50000
C     5.353110e+01  7.850883e+01  3.354500e+00    0.06944  0.83681  0.50000
C     5.476170e+01  7.921933e+01  3.354500e+00    0.07639  0.85069  0.50000
C     5.476170e+01  8.064029e+01  3.354500e+00    0.06944  0.85764  0.50000
C     5.599230e+01  8.135080e+01  3.354500e+00    0.07639  0.87153  0.50000
C     5.599230e+01  8.277176e+01  3.354500e+00    0.06944  0.87847  0.50000
C     5.722290e+01  8.348226e+01  3.354500e+00    0.07639  0.89236  0.50000
C     5.722290e+01  8.490322e+01  3.354500e+00    0.06944  0.89931  0.50000
C     5.845350e+01  8.561372e+01  3.354500e+00    0.07639  0.91319  0.50000
C     5.845350e+01  8.703468e+01  3.354500e+00    0.06944  0.92014  0.50000
C     5.968410e+01  8.774518e+01  3.354500e+00    0.07639  0.93403  0.50000
C     5.968410e+01  8.916614e+01  3.354500e+00    0.06944  0.94097  0.50000
C     6.091470e+01  8.987664e+01  3.354500e+00    0.07639  0.95486  0.50000
C     6.091470e+01  9.129760e+01  3.354500e+00    0.06944  0.96181  0.50000
C     6.214530e+01  9.200810e+01  3.354500e+00    0.07639  0.97569  0.50000
C     6.214530e+01  9.342907e+01  3.354500e+00    0.06944  0.98264  0.50000
C     6.337590e+01  9.413957e+01  3.354500e+00    0.07639  0.99653  0.50000
C     5.537700e+00 -8.881098e+00  3.354500e+00    0.09028  0.00347  0.50000
C     6.768300e+00 -8.170596e+00  3.354500e+00    0.09722  0.01736  0.50000
C     6.768300e+00 -6.749636e+00  3.354500e+00    0.09028  0.02431  0.50000
C     7.998900e+00 -6.039134e+00  3.354500e+00    0.09722  0.03819  0.50000
C     7.998900e+00 -4.618174e+00  3.354500e+00    0.09028  0.04514  0.50000
C     9.229500e+00 -3.907673e+00  3.354500e+00    0.09722  0.05903  0.50000
C     9.229500e+00 -2.486712e+00  3.354500e+00    0.09028  0.06597  0.50000
C     1.046010e+01 -1.776211e+00  3.354500e+00    0.09722  0.07986  0.50000
C     1.046010e+01 -3.552507e-01  3.354500e+00    0.09028  0.08681  0.50000
C     1.169070e+01  3.552507e-01  3.354500e+00    0.09722  0.10069  0.50000
C     1.169070e+01  1.776211e+00  3.354500e+00    0.09028  0.10764  0.50000
C     1.292130e+01  2.486712e+00  3.354500e+00    0.09722  0.12153  0.50000
C     1.292130e+01  3.907673e+00  3.354500e+00    0.09028  0.12847  0.50000
C     1.415190e+01  4.618174e+00  3.354500e+00    0.09722  0.14236  0.50000
C     1.415190e+01  6.039134e+00  3.354500e+00    0.09028  0.14931  0.50000
C     1.538250e+01  6.749636e+00  3.354500e+00    0.09722  0.16319  0.50000
C     1.538250e+01  8.170596e+00  3.354500e+00    0.09028  0.17014  0.50000
C     1.661310e+01  8.881098e+00  3.354500e+00    0.09722  0.18403  0.50000
C     1.661310e+01  1.030206e+01  3.354500e+00    0.09028  0.19097  0.50000
C     1.784370e+01  1.101256e+01  3.354500e+00    0.09722  0.20486  0.50000
C     1.784370e+01  1.243352e+01  3.354500e+00    0.09028  0.21181  0.50000
C     1.907430e+01  1.314402e+01  3.354500e+00    0.09722  0.22569  0.50000
C     1.907430e+01  1.456498e+01  3.354500e+00    0.09028  0.23264  0.50000
C     2.030490e+01  1.527548e+01  3.354500e+00    0.09722  0.24653  0.50000
C     2.030490e+01  1.669644e+01  3.354500e+00    0.09028  0.25347  0.50000
C     2.153550e+01  1.740694e+01  3.354500e+00    0.09722  0.26736  0.50000
C     2.153550e+01  1.882790e+01  3.354500e+00    0.09028  0.27431  0.50000
C     2.276610e+01  1.953841e+01  3.354500e+00    0.09722  0.28819  0.50000
C     2.276610e+01  2.095937e+01  3.354500e+00    0.09028  0.29514  0.50000
C     2.399670e+01  2.166987e+01  3.354500e+00    0.09722  0.30903  0.50000
C     2.399670e+01  2.309083e+01  3.354500e+00    0.09028  0.31597  0.50000
C     2.522730e+01  2.380133e+01  3.354500e+00    0.09722  0.32986  0.50000
C     2.522730e+01  2.522229e+01  3.354500e+00    0.09028  0.33681  0.50000
C     2.645790e+01  2.593279e+01  3.354500e+00    0.09722  0.35069  0.50000
C     2.645790e+01  2.735375e+01  3.354500e+00    0.09028  0.35764  0.50000
C     2.768850e+01  2.806425e+01  3.354500e+00    0.09722  0.37153  0.50000
C     2.768850e+01  2.948521e+01  3.354500e+00    0.09028  0.37847  0.50000
C     2.891910e+01  3.019571e+01  3.354500e+00    0.09722  0.39236  0.50000
C     2.891910e+01  3.161668e+01  3.354500e+00    0.09028  0.39931  0.50000
C     3.014970e+01  3.232718e+01  3.354500e+00    0.09722  0.41319  0.50000
C     3.014970e+01  3.374814e+01  3.354500e+00    0.09028  0.42014  0.50000
C     3.138030e+01  3.445864e+01  3.354500e+00    0.09722  0.43403  0.50000
C     3.138030e+01  3.587960e+01  3.354500e+00    0.09028  0.44097  0.50000
C     3.261090e+01  3.659010e+01  3.354500e+00    0.09722  0.45486  0.50000
C     3.261090e+01  3.801106e+01  3.354500e+00    0.09028  0.46181  0.50000
C     3.384150e+01  3.872156e+01  3.354500e+00    0.09722  0.47569  0.50000
C     3.384150e+01  4.014252e+01  3.354500e+00    0.09028  0.48264  0.50000
C     3.507210e+01  4.085302e+01  3.354500e+00    0.09722  0.49653  0.50000
C     3.507210e+01  4.227398e+01  3.354500e+00    0.09028  0.50347  0.50000
C     3.630270e+01  4.298449e+01  3.354500e+00    0.09722  0.51736  0.50000
C     3.630270e+01  4.440545e+01  3.354500e+00    0.09028  0.52431  0.50000
C     3.753330e+01  4.511595e+01  3.354500e+00    0.09722  0.53819  0.50000
C     3.753330e+01  4.653691e+01  3.354500e+00    0.09028  0.54514  0.50000
C     3.876390e+01  4.724741e+01  3.354500e+00    0.09722  0.55903  0.50000
C     3.876390e+01  4.866837e+01  3.354500e+00    0.09028  0.56597  0.50000
C     3.999450e+01  4.937887e+01  3.354500e+00    0.09722  0.57986  0.50000
C     3.999450e+01  5.079983e+01  3.354500e+00    0.09028  0.58681  0.50000
C     4.122510e+01  5.151033e+01  3.354500e+00    0.09722  0.60069  0.50000
C     4.122510e+01  5.293129e+01  3.354500e+00    0.09028  0.60764  0.50000
C     4.245570e+01  5.364179e+01  3.354500e+00    0.09722  0.62153  0.50000
C     4.245570e+01  5.506275e+01  3.354500e+00    0.09028  0.62847  0.50000
C     4.368630e+01  5.577326e+01  3.354500e+00    0.09722  0.64236  0.50000
C     4.368630e+01  5.719422e+01  3.354500e+00    0.09028  0.64931  0.50000
C     4.491690e+01  5.790472e+01  3.354500e+00    0.09722  0.66319  0.50000
C     4.491690e+01  5.932568e+01  3.354500e+00    0.09028  0.67014  0.50000
C     4.614750e+01  6.003618e+01  3.354500e+00    0.09722  0.68403  0.50000
C     4.614750e+01  6.145714e+01  3.354500e+00    0.09028  0.69097  0.50000
C     4.737810e+01  6.216764e+01  3.354500e+00    0.09722  0.70486  0.50000
C     4.737810e+01  6.358860e+01  3.354500e+00    0.09028  0.71181  0.50000
C     4.860870e+01  6.429910e+01  3.354500e+00    0.09722  0.72569  0.50000
C     4.860870e+01  6.572006e+01  3.354500e+00    0.09028  0.73264  0.50000
C     4.983930e+01  6.643056e+01  3.354500e+00    0.09722  0.74653  0.50000
C     4.983930e+01  6.785152e+01  3.354500e+00    0.09028  0.75347  0.50000
C     5.106990e+01  6.856203e+01  3.354500e+00    0.09722  0.76736  0.50000
C     5.106990e+01  6.998299e+01  3.354500e+00    0.09028  0.77431  0.50000
C     5.230050e+01  7.069349e+01  3.354500e+00    0.09722  0.78819  0.50000
C     5.230050e+01  7.211445e+01  3.354500e+00    0.09028  0.79514  0.50000
C     5.353110e+01  7.282495e+01  3.354500e+00    0.09722  0.80903  0.50000
C     5.353110e+01  7.424591e+01  3.354500e+00    0.09028  0.81597  0.50000
C     5.476170e+01  7.495641e+01  3.354500e+00    0.09722  0.82986  0.50000
C     5.476170e+01  7.637737e+01  3.354500e+00    0.09028  0.83681  0.50000
C     5.599230e+01  7.708787e+01  3.354500e+00    0.09722  0.85069  0.50000
C     5.599230e+01  7.850883e+01  3.354500e+00    0.09028  0.85764  0.50000
C     5.722290e+01  7.921933e+01  3.354500e+00    0.09722  0.87153  0.50000
C     5.722290e+01  8.064029e+01  3.354500e+00    0.09028  0.87847  0.50000
C     5.845350e+01  8.135080e+01  3.354500e+00    0.09722  0.89236  0.50000
C     5.845350e+01  8.277176e+01  3.354500e+00    0.09028  0.89931  0.50000
C     5.968410e+01  8.348226e+01  3.354500e+00    0.09722  0.91319  0.50000
C     5.968410e+01  8.490322e+01  3.354500e+00    0.09028  0.92014  0.50000
C     6.091470e+01  8.561372e+01  3.354500e+00    0.09722  0.93403  0.50000
C     6.091470e+01  8.703468e+01  3.354500e+00    0.09028  0.94097  0.50000
C     6.214530e+01  8.774518e+01  3.354500e+00    0.09722  0.95486  0.50000
C     6.214530e+01  8.916614e+01  3.354500e+00    0.09028  0.96181  0.50000
C     6.337590e+01  8.987664e+01  3.354500e+00    0.09722  0.97569  0.50000
C     6.337590e+01  9.129760e+01  3.354500e+00    0.09028  0.98264  0.50000
C     6.460650e+01  9.200810e+01  3.354500e+00    0.09722  0.99653  0.50000
C     6.768300e+00 -1.101256e+01  3.354500e+00    0.11111  0.00347  0.50000
C     7.998900e+00 -1.030206e+01  3.354500e+00    0.11806  0.01736  0.50000
C     7.998900e+00 -8.881098e+00  3.354500e+00    0.11111  0.02431  0.50000
C     9.229500e+00 -8.170596e+00  3.354500e+00    0.11806  0.03819  0.50000
C     9.229500e+00 -6.749636e+00  3.354500e+00    0.11111  0.04514  0.50000
C     1.046010e+01 -6.039134e+00  3.354500e+00    0.11806  0.05903  0.50000
C     1.046010e+01 -4.618174e+00  3.354500e+00    0.11111  0.06597  0.50000
C     1.169070e+01 -3.907673e+00  3.354500e+00    0.11806  0.07986  0.50000
C     1.169070e+01 -2.486712e+00  3.354500e+00    0.11111  0.08681  0.50000
C     1.292130e+01 -1.776211e+00  3.354500e+00    0.11806  0.10069  0.50000
C     1.292130e+01 -3.552507e-01  3.354500e+00    0.11111  0.10764  0.50000
C     1.415190e+01  3.552507e-01  3.354500e+00    0.11806  0.12153  0.50000
C     1.415190e+01  1.776211e+00  3.354500e+00    0.11111  0.12847  0.50000
C     1.538250e+01  2.486712e+00  3.354500e+00    0.11806  0.14236  0.50000
C     1.538250e+01  3.907673e+00  3.354500e+00    0.11111  0.14931  0.50000
C     1.661310e+01  4.618174e+00  3.354500e+00    0.11806  0.16319  0.50000
C     1.661310e+01  6.039134e+00  3.354500e+00    0.11111  0.17014  0.50000
C     1.784370e+01  6.749636e+00  3.354500e+00    0.11806  0.18403  0.50000
C     1.784370e+01  8.170596e+00  3.354500e+00    0.11111  0.19097  0.50000
C     1.907430e+01  8.881098e+00  3.354500e+00    0.11806  0.20486  0.50000
C     1.907430e+01  1.030206e+01  3.354500e+00    0.11111  0.21181  0.50000
C     2.030490e+01  1.101256e+01  3.354500e+00    0.11806  0.22569  0.50000
C     2.030490e+01  1.243352e+01  3.354500e+00    0.11111  0.23264  0.50000
C     2.153550e+01  1.314402e+01  3.354500e+00    0.11806  0.24653  0.50000
C     2.153550e+01  1.456498e+01  3.354500e+00    0.11111  0.25347  0.50000
C     2.276610e+01  1.527548e+01  3.354500e+00    0.11806  0.26736  0.50000
C     2.276610e+01  1.669644e+01  3.354500e+00    0.11111  0.27431  0.50000
C     2.399670e+01  1.740694e+01  3.354500e+00    0.11806  0.28819  0.50000
C     2.399670e+01  1.882790e+01  3.354500e+00    0.11111  0.29514  0.50000
C     2.522730e+01  1.953841e+01  3.354500e+00    0.11806  0.30903  0.50000
C     2.522730e+01  2.095937e+01  3.354500e+00    0.11111  0.31597  0.50000
C     2.645790e+01  2.166987e+01  3.354500e+00    0.11806  0.32986  0.50000
C     2.645790e+01  2.309083e+01  3.354500e+00    0.11111  0.33681  0.50000
C     2.768850e+01  2.380133e+01  3.354500e+00    0.11806  0.35069  0.50000
C     2.768850e+01  2.522229e+01  3.354500e+00    0.11111  0.35764  0.50000
C     2.891910e+01  2.593279e+01  3.354500e+00    0.11806  0.37153  0.50000
C     2.891910e+01  2.735375e+01  3.354500e+00    0.11111  0.37847  0.50000
C     3.014970e+01  2.806425e+01  3.354500e+00    0.11806  0.39236  0.50000
C     3.014970e+01  2.948521e+01  3.354500e+00    0.11111  0.39931  0.50000
C     3.138030e+01  3.019571e+01  3.354500e+00    0.11806  0.41319  0.50000
C     3.138030e+01  3.161668e+01  3.354500e+00    0.11111  0.42014  0.50000
C     3.261090e+01  3.232718e+01  3.354500e+00    0.11806  0.43403  0.50000
C     3.261090e+01  3.374814e+01  3.354500e+00    0.11111  0.44097  0.50000
C     3.384150e+01  3.445864e+01  3.354500e+00    0.11806  0.45486  0.50000
C     3.384150e+01  3.587960e+01  3.354500e+00    0.11111  0.46181  0.50000
C     3.507210e+01  3.659010e+01  3.354500e+00    0.11806  0.47569  0.50000
C     3.507210e+01  3.801106e+01  3.354500e+00    0.11111  0.48264  0.50000
C     3.630270e+01  3.872156e+01  3.354500e+00    0.11806  0.49653  0.50000
C     3.630270e+01  4.014252e+01  3.354500e+00    0.11111  0.50347  0.50000
C     3.753330e+01  4.085302e+01  3.354500e+00    0.11806  0.51736  0.50000
C     3.753330e+01  4.227398e+01  3.354500e+00    0.11111  0.52431  0.50000
C     3.876390e+01  4.298449e+01  3.354500e+00    0.11806  0.53819  0.50000
C     3.876390e+01  4.440545e+01  3.354500e+00    0.11111  0.54514  0.50000
C     3.999450e+01  4.511595e+01  3.354500e+00    0.11806  0.55903  0.50000
C     3.999450e+01  4.653691e+01  3.354500e+00    0.11111  0.56597  0.50000
C     4.122510e+01  4.724741e+01  3.354500e+00    0.11806  0.57986  0.50000
C     4.122510e+01  4.866837e+01  3.354500e+00    0.11111  0.58681  0.50000
C     4.245570e+01  4.937887e+01  3.354500e+00    0.11806  0.60069  0.50000
C     4.245570e+01  5.079983e+01  3.354500e+00    0.11111  0.60764  0.50000
C     4.368630e+01  5.151033e+01  3.354500e+00    0.11806  0.62153  0.50000
C     4.368630e+01  5.293129e+01  3.354500e+00    0.11111  0.62847  0.50000
C     4.491690e+01  5.364179e+01  3.354500e+00    0.11806  0.64236  0.50000
C     4.491690e+01  5.506275e+01  3.354500e+00    0.11111  0.64931  0.50000
C     4.614750e+01  5.577326e+01  3.354500e+00    0.11806  0.66319  0.50000
C     4.614750e+01  5.719422e+01  3.354500e+00    0.11111  0.67014  0.50000
C     4.737810e+01  5.790472e+01  3.354500e+00    0.11806  0.68403  0.50000
C     4.737810e+01  5.932568e+01  3.354500e+00    0.11111  0.69097  0.50000
C     4.860870e+01  6.003618e+01  3.354500e+00    0.11806  0.70486  0.50000
C     4.860870e+01  6.145714e+01  3.354500e+00    0.11111  0.71181  0.50000
C     4.983930e+01  6.216764e+01  3.354500e+00    0.11806  0.72569  0.50000
C     4.983930e+01  6.358860e+01  3.354500e+00    0.11111  0.73264  0.50000
C     5.106990e+01  6.429910e+01  3.354500e+00    0.11806  0.74653  0.50000
C     5.106990e+01  6.572006e+01  3.354500e+00    0.11111  0.75347  0.50000
C     5.230050e+01  6.643056e+01  3.354500e+00    0.11806  0.76736  0.50000
C     5.230050e+01  6.785152e+01  3.354500e+00    0.11111  0.77431  0.50000
C     5.353110e+01  6.856203e+01  3.354500e+00    0.11806  0.78819  0.50000
C     5.353110e+01  6.998299e+01  3.354500e+00    0.11111  0.79514  0.50000
C     5.476170e+01  7.069349e+01  3.354500e+00    0.11806  0.80903  0.50000
C     5.476170e+01  7.211445e+01  3.354500e+00    0.11111  0.81597  0.50000
C     5.599230e+01  7.282495e+01  3.354500e+00    0.11806  0.82986  0.50000
C     5.599230e+01  7.424591e+01  3.354500e+00    0.11111  0.83681  0.50000
C     5.722290e+01  7.495641e+01  3.354500e+00    0.11806  0.85069  0.50000
C     5.722290e+01  7.637737e+01  3.354500e+00    0.11111  0.85764  0.50000
C     5.845350e+01  7.708787e+01  3.354500e+00    0.11806  0.87153  0.50000
C     5.845350e+01  7.850883e+01  3.354500e+00    0.11111  0.87847  0.50000
C     5.968410e+01  7.921933e+01  3.354500e+00    0.11806  0.89236  0.50000
C     5.968410e+01  8.064029e+01  3.354500e+00    0.11111  0.89931  0.50000
C     6.091470e+01  8.135080e+01  3.354500e+00    0.11806  0.91319  0.50000
C     6.091470e+01  8.277176e+01  3.354500e+00    0.11111  0.92014  0.50000
C     6.214530e+01  8.348226e+01  3.354500e+00    0.11806  0.93403  0.50000
C     6.214530e+01  8.490322e+01  3.354500e+00    0.11111  0.94097  0.50000
C     6.337590e+01  8.561372e+01  3.354500e+00    0.11806  0.95486  0.50000
C     6.337590e+01  8.703468e+01  3.354500e+00    0.11111  0.96181  0.50000
C     6.460650e+01  8.774518e+01  3.354500e+00    0.11806  0.97569  0.50000
C     6.460650e+01  8.916614e+01  3.354500e+00    0.11111  0.98264  0.50000
C     6.583710e+01  8.987664e+01  3.354500e+00    0.11806  0.99653  0.50000
C     7.998900e+00 -1.314402e+01  3.354500e+00    0.13194  0.00347  0.50000
C     9.229500e+00 -1.243352e+01  3.354500e+00    0.13889  0.01736  0.50000
C     9.229500e+00 -1.101256e+01  3.354500e+00    0.13194  0.02431  0.50000
C     1.046010e+01 -1.030206e+01  3.354500e+00    0.13889  0.03819  0.50000
C     1.046010e+01 -8.881098e+00  3.354500e+00    0.13194  0.04514  0.50000
C     1.169070e+01 -8.170596e+00  3.354500e+00    0.13889  0.05903  0.50000
C     1.169070e+01 -6.749636e+00  3.354500e+00    0.13194  0.06597  0.50000
C     1.292130e+01 -6.039134e+00  3.354500e+00    0.13889  0.07986  0.50000
C     1.292130e+01 -4.618174e+00  3.354500e+00    0.13194  0.08681  0.50000
C     1.415190e+01 -3.907673e+00  3.354500e+00    0.13889  0.10069  0.50000
C     1.415190e+01 -2.486712e+00  3.354500e+00    0.13194  0.10764  0.50000
C     1.538250e+01 -1.776211e+00  3.354500e+00    0.13889  0.12153  0.50000
C     1.538250e+01 -3.552507e-01  3.354500e+00    0.13194  0.12847  0.50000
C     1.661310e+01  3.552507e-01  3.354500e+00    0.13889  0.14236  0.50000
C     1.661310e+01  1.776211e+00  3.354500e+00    0.13194  0.14931  0.50000
C     1.784370e+01  2.486712e+00  3.354500e+00    0.13889  0.16319  0.50000
C     1.784370e+01  3.907673e+00  3.354500e+00    0.13194  0.17014  0.50000
